CountryName,Region,ThirdWorld,LifeExpectancy1990,LifeExpectancy2017,MortalityInfantRate1990,MortalityInfantRate2017,Physician1990,Physician2017,BirthRate1990,BirthRate2017,PopAge15-64Rate1990,PopAge15-64Rate2017,PopAgeOver65Rate1990,PopAgeOver65Rate2017
Mozambique,Africa,1,45.261,59.309,161.7,57.9,0.012,0.0761,44.842,37.876,49.7464752467258,52.1422060609547,3.63215056687722,2.89833319941368
Myanmar,Southeast Asia,1,56.849,66.558,81.2,38.2,0.078,0.8638,27.486,17.703,58.3730611772306,67.5922492460688,3.98068725881784,5.56105787656383
Nepal,South Asia,1,54.404,70.169,97.1,27.4,0.051,0.9101,38.458,20.196,54.0442722474407,62.9988020344461,3.52953255135892,5.6646874040199
Netherlands,Western Europe,0,76.8780487804878,81.76097560975612,6.8,3.4,2.5032,3.6054,13.2,9.9,69.0666460502886,64.85473799459,12.7281388435548,18.7921320210439
Nicaragua,North America,0,64.293,74.068,50.6,15.4,0.657,0.9895,35.865,21.06,50.9660150370175,64.3993136247922,3.19674397630345,5.05229100279004
Oman,Middle East,0,67.18,77.393,31.5,9.7,0.7952,1.9572,38.282,19.786,52.4649851751583,75.6147758816681,2.28627588829028,2.34472113585979
Pakistan,South Asia,0,60.1,66.947,106.7,58.8,0.462,1.0005,41.222,28.599,53.094480106123,60.2075429118137,3.90201869295739,4.31383605287132
Paraguay,South America,0,68.545,73.992,36.2,17.8,0.65,0.2399,33.489,20.787,54.5228446648033,64.0546370565225,4.05307079697354,6.24101052837597
Philippines,Southeast Asia,0,66.366,70.952,39.9,22.7,0.119,0.6004,33.02,21.036,55.9219008400657,63.5948947887491,3.14241533586794,4.93709669099723
Poland,Eastern Europe,0,70.89024390243902,77.75365853658538,15.2,3.9,2.1507,2.3788,14.4,10.6,64.9294354219959,68.1894244434854,9.95034192792434,16.9312953486375
Portugal,Western Europe,0,73.96585365853659,81.42439024390245,11.6,3.0,2.8312,5.124,11.7,8.4,65.7975896591576,64.7752200096282,13.6751412075392,21.5577020889385
Qatar,Middle East,0,75.824,79.981,17.7,6.1,1.5,0.0008,22.509,9.698,70.4074091182041,85.2571339230925,1.30595996455851,1.23212298622101
Romania,Eastern Europe,0,69.74121951219513,75.30975609756098,24.2,6.7,1.802,2.9807,13.6,10.8,65.8463265608476,66.6687883755184,10.4051060148596,17.8817265866248
Sao Tome and Principe,Africa,1,58.247,69.933,68.8,25.0,0.53,0.0531,40.053,31.967,47.8227315051716,54.2375500388722,3.6079490642485,2.90744559102608
Saudi Arabia,Middle East,0,69.078,74.874,35.6,6.3,1.433,2.5366,35.799,18.319,55.1780684541529,71.5334036893369,2.81713106339649,3.20753529655243
Senegal,Africa,1,57.202,67.38,71.0,34.4,0.055,0.0691,42.678,35.12,50.1930495261487,53.6891458819127,2.96991605577609,3.07451900549666
Slovenia,Western Europe,0,73.20487804878049,81.02926829268294,8.8,1.8,1.99,3.0861,11.2,9.8,68.6318066392378,66.0745022380146,10.640274520847,19.0233163840774
Spain,Western Europe,0,76.83756097560976,83.28292682926829,7.4,2.7,2.0305,3.8723,10.3,8.4,66.6150764523459,66.150813288141,13.3904384985406,19.1458487271796
St. Lucia,North America,0,71.074,75.907,17.7,19.3,0.35,0.6409,28.288,12.143,56.0382553253152,71.4866761718448,7.38008984205188,9.60465090575505
Suriname,South America,0,67.436,71.463,38.7,17.0,0.75,1.1849,27.954,18.791,60.9813706906765,65.7618984182185,4.74889428582711,6.8049556876823
Switzerland,Western Europe,0,77.24243902439024,83.55121951219512,6.6,3.7,3.0,4.2957,12.5,10.3,68.3732188884553,66.6966381907622,14.5870623015518,18.4308671298436
Trinidad and Tobago,North America,0,68.086,73.245,26.8,16.6,0.72,3.3646,20.72,13.302,60.6880918766112,69.096909886067,5.70715640446935,10.3645870587887
Tunisia,Africa,0,68.792,76.31,43.2,14.7,0.5367,1.3025,25.975,18.01,57.9169586494188,67.8360402898759,4.86973848698258,8.05233384204566
Turkey,Middle East,0,64.256,77.161,55.4,9.8,0.9391,1.8492,25.865,16.264,59.6003839637282,66.7415314649495,4.60626470649326,8.25571138776413
United Kingdom,Northern Europe,0,75.88048780487806,81.2560975609756,7.9,3.8,1.6204,2.7863,13.9,11.4,65.2851572356831,64.0738555899797,15.7488000528438,18.2911350395904
United States,North America,0,75.21463414634147,78.53902439024391,9.4,5.7,1.8,2.612,16.7,11.8,65.6977181477276,65.7221060220984,12.6277839838757,15.4193658960742
Uruguay,South America,0,72.569,77.632,20.2,6.8,3.68,5.0794,18.294,13.963,62.3561672381762,64.5227418284307,11.637634538965,14.7002261801567
Zimbabwe,Africa,0,58.1,60.812,49.5,40.5,0.1265,0.1859,36.218,31.732,51.6088068148323,54.50594050052,2.67793065483074,2.8961911187331
